,grape_type,type,centrality
0,n+1,in_degree,"[('bankruptcy', 0.0888), ('debtor', 0.0489), ('creditor', 0.0359), ('chapter', 0.0349), ('property', 0.0329), ('may', 0.0259), ('help', 0.0), ('american', 0.0), ('critical', 0.0), ('actual', 0.0)]"
1,n+1,out_degree,"[('bankruptcy', 0.0639), ('debtor', 0.0469), ('creditor', 0.0349), ('case', 0.0329), ('may', 0.0299), ('chapter', 0.0289), ('june', 0.0), ('investment', 0.0), ('structure', 0.0), ('inc', 0.0)]"
2,n+1,left_eigen,"[('bankruptcy', 0.3514), ('debtor', 0.2396), ('creditor', 0.2361), ('chapter', 0.2297), ('may', 0.2134), ('case', 0.1947), ('help', 0.0), ('american', 0.0), ('critical', 0.0), ('actual', 0.0)]"
3,n+1,right_eigen,"[('bankruptcy', 0.2949), ('debtor', 0.2935), ('property', 0.2296), ('state', 0.2176), ('case', 0.2135), ('chapter', 0.2099), ('june', 0.0), ('investment', 0.0), ('structure', 0.0), ('inc', 0.0)]"
4,n+1,left_katz,"[('bankruptcy', 0.1212), ('debtor', 0.0818), ('creditor', 0.0716), ('chapter', 0.0684), ('property', 0.0632), ('may', 0.0618), ('help', 0.0285), ('american', 0.0285), ('critical', 0.0285), ('actual', 0.0285)]"
5,n+1,right_kstz,"[('bankruptcy', 0.0981), ('debtor', 0.0834), ('case', 0.0673), ('creditor', 0.0661), ('chapter', 0.0641), ('property', 0.061), ('june', 0.0286), ('investment', 0.0286), ('structure', 0.0286), ('inc', 0.0286)]"
6,n+1,page_Rank,"[('bankruptcy', 0.0336), ('debtor', 0.0173), ('creditor', 0.0152), ('state', 0.0128), ('chapter', 0.012), ('property', 0.0119), ('help', 0.0002), ('american', 0.0002), ('critical', 0.0002), ('actual', 0.0002)]"
7,n+1,in closeness,"[('bankruptcy', 0.3145), ('creditor', 0.2876), ('debtor', 0.2839), ('may', 0.2837), ('case', 0.2738), ('chapter', 0.2717), ('help', 0.0), ('american', 0.0), ('critical', 0.0), ('actual', 0.0)]"
8,n+1,out closeness,"[('bankruptcy', 0.298), ('debtor', 0.2949), ('property', 0.2821), ('case', 0.2796), ('chapter', 0.2778), ('state', 0.275), ('june', 0.0), ('investment', 0.0), ('structure', 0.0), ('inc', 0.0)]"
9,n+1,betweenness,"[('bankruptcy', 0.3018), ('debtor', 0.1702), ('creditor', 0.108), ('property', 0.0893), ('case', 0.0848), ('may', 0.0799), ('stave', 0.0), ('pushed', 0.0), ('actual', 0.0), ('inc', 0.0)]"
10,n+2,in_degree,"[('bankruptcy', 0.1547), ('debtor', 0.0848), ('creditor', 0.0619), ('case', 0.0599), ('property', 0.0589), ('chapter', 0.0569), ('help', 0.0), ('american', 0.0), ('critical', 0.0), ('actual', 0.0)]"
11,n+2,out_degree,"[('bankruptcy', 0.1347), ('debtor', 0.0838), ('creditor', 0.0669), ('case', 0.0629), ('may', 0.0579), ('chapter', 0.0569), ('june', 0.0), ('investment', 0.0), ('structure', 0.0), ('inc', 0.0)]"
12,n+2,left_eigen,"[('bankruptcy', 0.3462), ('debtor', 0.2397), ('case', 0.2128), ('chapter', 0.2021), ('creditor', 0.1898), ('may', 0.1761), ('help', 0.0), ('american', 0.0), ('critical', 0.0), ('actual', 0.0)]"
13,n+2,right_eigen,"[('bankruptcy', 0.3482), ('debtor', 0.2597), ('case', 0.2195), ('state', 0.1863), ('creditor', 0.1837), ('chapter', 0.1734), ('june', 0.0), ('investment', 0.0), ('structure', 0.0), ('inc', 0.0)]"
14,n+2,left_katz,"[('bankruptcy', 0.1958), ('debtor', 0.1282), ('case', 0.105), ('creditor', 0.1034), ('chapter', 0.1008), ('property', 0.0965), ('help', 0.0235), ('american', 0.0235), ('critical', 0.0235), ('actual', 0.0235)]"
15,n+2,right_kstz,"[('bankruptcy', 0.1832), ('debtor', 0.1309), ('case', 0.1087), ('creditor', 0.1054), ('chapter', 0.096), ('state', 0.0955), ('june', 0.0236), ('investment', 0.0236), ('structure', 0.0236), ('inc', 0.0236)]"
16,n+2,page_Rank,"[('bankruptcy', 0.0304), ('debtor', 0.0167), ('creditor', 0.0137), ('case', 0.0122), ('property', 0.0114), ('state', 0.0107), ('help', 0.0002), ('american', 0.0002), ('critical', 0.0002), ('actual', 0.0002)]"
17,n+2,in closeness,"[('bankruptcy', 0.4203), ('debtor', 0.3832), ('may', 0.3698), ('creditor', 0.3681), ('case', 0.3676), ('chapter', 0.3649), ('help', 0.0), ('american', 0.0), ('critical', 0.0), ('actual', 0.0)]"
18,n+2,out closeness,"[('bankruptcy', 0.4171), ('debtor', 0.3819), ('case', 0.3727), ('state', 0.3627), ('creditor', 0.3597), ('property', 0.3565), ('june', 0.0), ('investment', 0.0), ('structure', 0.0), ('inc', 0.0)]"
19,n+2,betweenness,"[('bankruptcy', 0.2826), ('debtor', 0.1348), ('creditor', 0.088), ('may', 0.0748), ('state', 0.0716), ('case', 0.0677), ('investment', 0.0), ('structure', 0.0), ('actual', 0.0), ('inc', 0.0)]"
